Date,Total_Equity,Cash,Holdings_Value,Positions_Count,Holdings_Detail
2015-01-05,100000,224,99775,1,2768.T
2015-01-06,97030,224,96805,1,2768.T
2015-01-07,97030,224,96805,1,2768.T
2015-01-08,96436,224,96211,1,2768.T
2015-01-09,96436,224,96211,1,2768.T
2015-01-13,94803,234,94568,1,3092.T
2015-01-14,91655,234,91421,1,3092.T
2015-01-15,90375,234,90140,1,3092.T
2015-01-16,87993,1288,86704,1,6146.T
2015-01-19,89207,1288,87919,1,6146.T
2015-01-20,88317,1288,87028,1,6146.T
2015-01-21,88722,1288,87433,1,6146.T
2015-01-22,87831,1288,86543,1,6146.T
2015-01-23,87345,1288,86057,1,6146.T
2015-01-26,89126,1288,87838,1,6146.T
2015-01-27,88884,1288,87595,1,6146.T
2015-01-28,89774,1288,88485,1,6146.T
2015-01-29,89936,1288,88647,1,6146.T
2015-01-30,89288,1288,88000,1,6146.T
2015-02-02,87831,1288,86543,1,6146.T
2015-02-03,83708,554,83153,1,1605.T
2015-02-04,85845,554,85290,1,1605.T
2015-02-05,82444,554,81889,1,1605.T
2015-02-06,83166,554,82611,1,1605.T
2015-02-09,81360,108,81251,1,2222.T
2015-02-10,81866,108,81758,1,2222.T
2015-02-12,83039,108,82930,1,2222.T
2015-02-13,81233,108,81124,1,2222.T
2015-02-16,81613,108,81505,1,2222.T
2015-02-17,82088,108,81980,1,2222.T
2015-02-18,82437,108,82328,1,2222.T
2015-02-19,82848,108,82740,1,2222.T
2015-02-20,82595,108,82487,1,2222.T
2015-02-23,82532,108,82423,1,2222.T
2015-02-24,81961,108,81853,1,2222.T
2015-02-25,82183,108,82075,1,2222.T
2015-02-26,82278,108,82170,1,2222.T
2015-02-27,82342,108,82233,1,2222.T
2015-03-02,82310,108,82201,1,2222.T
2015-03-03,82342,108,82233,1,2222.T
2015-03-04,82183,108,82075,1,2222.T
2015-03-05,82342,108,82233,1,2222.T
2015-03-06,82532,108,82423,1,2222.T
2015-03-09,82943,108,82835,1,2222.T
2015-03-10,82500,108,82391,1,2222.T
2015-03-11,82753,108,82645,1,2222.T
2015-03-12,83039,108,82930,1,2222.T
2015-03-13,82532,108,82423,1,2222.T
2015-03-16,82848,108,82740,1,2222.T
2015-03-17,83134,108,83025,1,2222.T
2015-03-18,83039,108,82930,1,2222.T
2015-03-19,83070,108,82962,1,2222.T
2015-03-20,82722,108,82613,1,2222.T
2015-03-23,82912,108,82803,1,2222.T
2015-03-24,83355,108,83247,1,2222.T
2015-03-25,83134,108,83025,1,2222.T
2015-03-26,82278,108,82170,1,2222.T
2015-03-27,81249,108,81140,1,2222.T
2015-03-30,81120,108,81012,1,2222.T
2015-03-31,80863,108,80754,1,2222.T
2015-04-01,78771,108,78663,1,2222.T
2015-04-02,80477,108,80368,1,2222.T
2015-04-03,81313,108,81205,1,2222.T
2015-04-06,81892,108,81784,1,2222.T
2015-04-07,84370,108,84261,1,2222.T
2015-04-08,85785,108,85677,1,2222.T
2015-04-09,87458,108,87350,1,2222.T
2015-04-10,88102,108,87993,1,2222.T
2015-04-13,88681,108,88572,1,2222.T
2015-04-14,88230,108,88122,1,2222.T
2015-04-15,87426,108,87317,1,2222.T
2015-04-16,87458,108,87350,1,2222.T
2015-04-17,86654,108,86545,1,2222.T
2015-04-20,85528,108,85419,1,2222.T
2015-04-21,85463,108,85355,1,2222.T
2015-04-22,83383,820,82563,1,1605.T
2015-04-23,85231,820,84410,1,1605.T
2015-04-24,86357,820,85536,1,1605.T
2015-04-27,85231,820,84410,1,1605.T
2015-04-28,87887,820,87066,1,1605.T
2015-04-30,88002,820,87182,1,1605.T
2015-05-01,87194,820,86373,1,1605.T
2015-05-07,86876,820,86056,1,1605.T
2015-05-08,85751,820,84930,1,1605.T
2015-05-11,86386,820,85565,1,1605.T
2015-05-12,85318,820,84497,1,1605.T
2015-05-13,86674,820,85854,1,1605.T
2015-05-14,85202,820,84381,1,1605.T
2015-05-15,84195,311,83883,1,3092.T
2015-05-18,84922,311,84610,1,3092.T
2015-05-19,82255,311,81944,1,3092.T
2015-05-20,82740,311,82428,1,3092.T
2015-05-21,82255,311,81944,1,3092.T
2015-05-22,84922,311,84610,1,3092.T
2015-05-25,83710,311,83398,1,3092.T
2015-05-26,82134,311,81822,1,3092.T
2015-05-27,83104,311,82792,1,3092.T
2015-05-28,81285,311,80974,1,3092.T
2015-05-29,81528,311,81216,1,3092.T
2015-06-01,81892,311,81580,1,3092.T
2015-06-02,85286,311,84974,1,3092.T
2015-06-03,82619,311,82307,1,3092.T
2015-06-04,82619,311,82307,1,3092.T
2015-06-05,82619,311,82307,1,3092.T
2015-06-08,80437,311,80125,1,3092.T
2015-06-09,77450,157,77292,1,2222.T
2015-06-10,78299,157,78142,1,2222.T
2015-06-11,78611,157,78453,1,2222.T
