Date,Ticker,Timeframe,Action,result,Reason,Confidence,stop_loss_price,target_price,Actual_High,Target_Diff,Target_Reach,Price,adx,prev_adx,ma_deviation,rs_rating,vol_ratio,expansion_rate,dist_to_res,days_to_earnings,margin_ratio,profit_rate,Strategy_Mode
2021-09-03,6594.T,1d,BUY,LOSS,強いトレンドとモメンタム、雲上抜け、出来高増加で初動狙撃。,92,5900,6450,6722.745086371056,272.74508637105555,196.75899490862886,6168.119140625,43.56774594653602,39.468565623079606,2.450197644418539,0,1.405414693752864,1.0038812964183481,-3.962614351392055,999,1.0,-4.34685411407005,HOMERUN
2025-08-05,6702.T,1d,BUY,LOSS,MACDが強く拡大中、価格は雲の上、トレンド・出来高良好で抵抗線突破を狙う。,90,3380,3700,4195.0,495.0,335.01102309634257,3489.37158203125,46.30725945941261,45.514663829470976,5.9352773458495545,0,1.0556360633395725,0.9192667040060736,-1.848740171787084,999,1.0,-3.1344206101312397,HOMERUN
2023-05-26,6857.T,1d,BUY,WIN,ADX/MACD拡大、雲上抜け、出来高増。本物のトレンド初動を狙う。,95,3950,4700,5515.0893906652245,815.0893906652245,258.3639272893739,4185.30615234375,28.858302315472535,27.824770011795557,35.454224538922595,0,1.9671980871916703,1.7059368729751332,0.6520436705902217,999,1.0,6.59600578218187,GUERRILLA
2023-11-08,6758.T,1d,BUY,LOSS,MACD拡大、雲上抜けで上昇トレンド。ADX高くモメンタム強。抵抗線突破期待。,90,2580,2700,2945.9964242826804,245.99642428268044,483.7209587153435,2635.891845703125,35.59637128723066,35.62775478234649,5.7666465858595695,0,1.2236912802560578,1.1945041699685184,0.5651918774998339,999,1.0,-2.120414985699682,HOMERUN
2021-09-29,7267.T,1d,BUY,LOSS,雲上抜け、出来高急増、MACDモメンタム強く上昇トレンド初動,90,985,1050,1016.6758518176279,-33.32414818237214,17.595580234394337,1009.5602416992188,39.8229732081994,40.28385591726677,6.395061814032599,0,1.9305031222546716,1.1019658495183864,-2.0196294224378164,999,1.0,-2.4327663357543408,HOMERUN
2023-04-28,4901.T,1d,BUY,WIN,雲の上でMACD拡大、出来高増加。トレンド初動を狙う。,75,2623.0405596338937,2400,2829.397015692474,429.3970156924738,385.79114947505155,2249.75146484375,30.272802265736196,32.1420635099064,4.670950101853255,0,1.4883943936916189,0.9412767638809709,1.1461301649557745,999,1.0,16.543909455252738,HOMERUN
2022-01-14,7735.T,1d,BUY,LOSS,MACD拡大、雲の上、出来高増。抵抗線ブレイクアウト期待の初動狙い。,70,5650,6000,5946.702838521773,-53.29716147822728,73.43437199092446,5799.37548828125,22.300522777142394,20.170067658037528,6.899512824721898,0,1.659684150886181,1.146673316409104,-0.9153328191854578,999,1.0,-4.695941513344348,GUERRILLA
2023-08-24,6920.T,1d,BUY,LOSS,抵抗線ブレイク、MACD拡大、雲の上、ADX高値で上昇モメンタム強し。,80,21000,22800,31067.23557548766,8267.235575487659,826.6165208938254,21662.228515625,54.149752671855936,50.63257941342721,4.114913018575028,0,1.0860851442842892,0.6692920090107536,-2.565797173531205,999,1.0,-3.057065505274924,HOMERUN
2024-02-08,6857.T,1d,BUY,WIN,MACD強力拡大、出来高急増、価格は雲の上でトレンド初動の兆候。,70,6185,6840,7380.3859820156695,540.3859820156695,263.9029611207099,6510.30126953125,21.344420985766995,22.017304666946163,17.611934123244843,0,1.78522703738221,0.8155021473704364,5.131078652305482,999,1.0,5.0000000000000115,GUERRILLA
2025-07-23,6367.T,1d,BUY,LOSS,雲上でMACD拡大、出来高増加。抵抗線突破でトレンド継続に期待。,80,18500,19500,20019.06748051736,519.0674805173585,176.3894022865114,18820.498046875,31.616217905648682,33.61057318784003,8.619839872398138,0,1.430506215121927,0.8241771504893237,-0.9901046698025477,999,1.0,-1.7029201144239443,HOMERUN
2023-08-24,4901.T,1d,BUY,LOSS,トレンド強くMACD拡大、価格は雲の上。出来高も増加傾向で買い勢力強い。,90,2600,2850,2929.1383074954974,79.13830749549743,154.9857777640946,2706.074951171875,41.18367459989614,42.20948751974474,3.6575566172605045,0,1.0691565446226066,1.1589507774310208,-4.358598805209267,999,1.0,-3.919882231123675,HOMERUN
2024-05-17,8411.T,1d,BUY,LOSS,強いトレンド、MACD拡大、雲上での抵抗線突破。,65,2940,3030,3382.5827160957533,352.5827160957533,674.6145725254469,2968.64013671875,28.701190072368522,24.82403358820804,3.5731701544882366,0,1.5186803001469182,1.3765302321537696,0.15978823205983883,999,1.0,-0.9647560970595129,GUERRILLA
2024-07-03,8725.T,1d,BUY,WIN,強力なモメンタムで雲を上回り、抵抗線突破を狙う。,80,3300,3900,3764.0210297247218,-135.97897027527824,59.12924719282429,3567.295166015625,28.83544181094308,28.58256863562923,15.668740147590675,0,1.2697646327785046,2.360875817906802,-1.8050578351486886,999,1.0,5.000000000000005,GUERRILLA
