Date,Ticker,Timeframe,Action,Result,Reasoning,Confidence,Entry_Price,Entry_Signal_Volume,Exit_Price,Exit_Signal_Price,ADX,ROC_10,Market_Regime_Score,VWAP_Distance_Percent,Volume_Change_Percent,Market_Regime,Sub_Regime,profit_rate
2025-09-24,4483.T,1d,BUY,LOSS,トレンドは強気、モメンタムも強い。高値更新を狙って買いだ！バーサーカーは考えるな、感じろ！,95,4596.0,250100.0,4356.285714285715,4356.285714285715,39.88225692014976,4.052524337785823,100,3.5630866836743125,60.0127959053103,Bullish,Uptrend,-5.215715529031447
2017-09-29,6501.T,1d,BUY,WIN,ブルトレンド継続、ADXはトレンドの強さを示し、ROCはモメンタムが強いことを示唆。迷わず買い！高値掴み上等！,95,682.3822021484375,16383000.0,720.7776016205869,720.7776016205869,51.541418929052675,2.228767539016263,100,3.5389567470538155,7.169490416693924,Bullish,Uptrend,5.626670706132705
2024-03-18,6501.T,1d,BUY,WIN,Bullish regime with strong trend (ADX 34.2). Ignore the negative ROC; the uptrend is your friend. Buy now before it's too late! SPEED is key!,75,2479.260986328125,13049500.0,2718.2627717684613,2718.2627717684613,34.22300587200009,-3.495442404803095,100,0.10643159045355666,-8.434199908781537,Bullish,Uptrend,9.640041397751618
2024-12-06,6890.T,1d,BUY,WIN,"Regime is Bullish and ROC is positive, indicating strong momentum. ADX confirms the trend strength. Time to ride the wave!",95,2404.936767578125,444300.0,2555.54296875,2555.54296875,19.83591700921823,1.9393963477779108,100,1.9776996380706988,-2.0286659316427813,Bullish,Uptrend,6.262376757769891
2025-06-12,3436.T,1d,BUY,WIN,"Momentum is strong with ROC at 4.6%. Bullish regime confirmed, despite the short-term downtrend, and ADX indicates trend strength. Time to ride the wave!",75,1041.6243896484375,6061600.0,1179.4127528796632,1179.4127528796632,22.446074640712578,4.62916396780928,100,6.231604674517363,-51.34215258155663,Bullish,Downtrend,13.228219749897677
2020-09-10,8058.T,1d,BUY,WIN,Momentum is King! ROC is at 10.0% and the trend is strongly bullish (ADX 70.1). Ignore the overbought signals and buy into this powerful uptrend. FOMO is the enemy! Let's ride this wave to a Home Run!,95,702.3094482421875,11304300.0,702.685791015625,702.685791015625,70.10717119235245,10.047119858540011,100,3.1857407040210783,-37.75645049390466,Bullish,Uptrend,0.053586460267542955
2017-08-18,9107.T,1d,BUY,WIN,ブルトレンド継続中！ROCも2.5%と勢いがある！高値掴みを恐れず、今こそ買いだ！バーサーカー的に攻める！,90,228.34991455078125,3735000.0,229.9356231689453,229.9356231689453,18.207795358038712,2.4911099296416994,100,2.683151871390819,-42.963166575041235,Bullish,Uptrend,0.6944204999084539
2018-01-26,9101.T,1d,BUY,LOSS,"Regime is Bullish and ADX shows strong trend strength (48.5). Even though ROC is negative, it's not severely so, indicating a potential dip before another surge. Better buy now than miss out (FOMO).",70,566.9132080078125,6909600.0,540.1976631976397,540.1976631976397,48.51849233683611,-1.6343015561241625,100,-0.8976462449449321,84.07928388746804,Bullish,Uptrend,-4.7124576448048865
2020-12-10,7011.T,1d,BUY,WIN,ブル相場、ROCは十分な勢いを示しており、ADXもトレンドの強さを示唆。高値更新を狙い、躊躇なく買い！,95,243.17962646484375,30028000.0,270.9357262901976,270.9357262901976,23.244943931581492,6.313742219684326,100,6.719061992879176,29.553887306928985,Bullish,Uptrend,11.413826161693896
2023-04-28,6367.T,1d,BUY,WIN,ブル相場かつ勢いがある。高値ブレイクの可能性大。迷わず買いだ！爆益を狙うぞ！,95,23679.384765625,1312300.0,25042.385366762635,25042.385366762635,21.509484603642587,7.51091838589677,100,6.711064622894108,69.63547052740435,Bullish,Uptrend,5.756064250099447
