Date,Ticker,Timeframe,Action,Confidence,stop_loss_price,stop_loss_reason,Reason,Price,sma25_dev,trend_momentum,macd_power,entry_volatility,result,profit_loss
2024-09-13,9101.T,1d,SELL,0,0.0,Legacy Data,MACDがデッドクロス後、マイナス圏で推移し強い下降トレンドを示唆。価格も短期・中期の移動平均線を大きく下抜けており、弱気局面と判断。SMA25からのマイナス乖離(-4.71%)は短期的な反発の可能性も示すが、全体の地合いは弱く、戻り売りの好機と考えられるため。,0.0,-4.710573453227395,1.8100297526769624,-127.29151379971296,0.0,LOSS,498.28759765625
2024-03-08,4901.T,1d,BUY,0,0.0,Legacy Data,短期・中期移動平均線が共に急角度で上昇しパーフェクトオーダーを形成。MACDも強く、明確な上昇トレンドが継続している。SMA乖離率にやや過熱感はあるが、トレンドフォローの観点から押し目買いが有効と判断。,0.0,3.294845571895988,2.4896610148828877,24.195691619615435,0.0,DRAW,-30.194091796875
2024-09-25,9202.T,1d,BUY,0,0.0,Legacy Data,8月の安値からV字回復し明確な上昇トレンドを形成。短期移動平均線(25SMA)が長期線(75SMA)を上抜くゴールデンクロス発生が間近であり、強い買いシグナルと判断。MACDも上昇モメンタムを支持しており、短期的な過熱感はあるものの、上昇継続の可能性が高い。,0.0,3.108468501791539,3.5618230725563294,19.318413569800946,0.0,LOSS,-105.277587890625
2023-11-30,4452.T,1d,BUY,0,0.0,Legacy Data,短期(25)移動平均線が長期(75)線を上抜けるゴールデンクロスを形成し、明確な上昇トレンドを示唆。MACDも強気のシグナルを示しており、SMA乖離率も過熱感のない水準であるため、過去の上昇継続の成功パターンと酷似していると判断。,0.0,2.2386288462314274,1.3539309547923195,24.446191096039275,0.0,DRAW,-3.8134765625
2024-04-19,4568.T,1d,BUY,0,0.0,Legacy Data,長期的な上昇トレンドを示す75日移動平均線で反発し、下段のMACDではゴールデンクロスが発生している。これは短期的な下落トレンドからの転換を示唆しており、ダブルボトム形成の可能性も見えるため買いが優位と判断した。,0.0,-1.421996122089908,-1.5985934355569948,-20.83133846584883,0.0,WIN,364.42626953125
2023-10-16,7267.T,1d,SELL,0,0.0,Legacy Data,高値圏でダブルトップを形成後、短期の25日移動平均線が下向きに転じ、株価もこれを下回っている。MACDも0ラインを下回り強い売りシグナルを示しており、本格的な下落トレンドへの転換と判断したため。,0.0,-1.129577754368538,2.054799264183558,-40.27441548393102,0.0,WIN,-46.287109375
2024-10-24,6954.T,1d,BUY,0,0.0,Legacy Data,SMA25乖離率が-4.55%と大きく、短期的な売られ過ぎの状態。前回の安値圏に近づいており、ダブルボトム形成の可能性もあるため、自律反発を狙った逆張りの買いを推奨する。,0.0,-4.546618334619978,1.7525889169487747,-69.27744740347,0.0,WIN,254.983642578125
2024-04-12,9104.T,1d,BUY,0,0.0,Legacy Data,MACDがマイナス圏でゴールデンクロスを形成し、売られ過ぎからの反発を示唆しています。長期の75日移動平均線は上向きを維持しており、上昇トレンド内の押し目と判断。短期的な底打ちの可能性が高いと分析しました。,0.0,-0.9657881832701444,-3.2815866830519536,33.17322164678115,0.0,DRAW,36.65625
2024-02-29,7011.T,1d,SELL,0,0.0,Legacy Data,現在のSMA乖離率(11.39%)や勢い(8.14)は、過去の失敗事例(9202.T等)を大幅に上回る極端な過熱状態を示唆。急騰後の反落リスクが非常に高いと判断し、利益確定または逆張りの売りを推奨する。,0.0,11.385104554712044,8.14477846331622,47.91233855542839,0.0,LOSS,63.1063232421875
2024-03-04,6146.T,1d,SELL,0,0.0,Legacy Data,現在のSMA乖離率(16.46%)とMACD強度(78.61)は、過熱が原因で失敗した過去事例(7011.T)の数値を大幅に上回っている。これは極端な買われすぎを示唆しており、急激な反落リスクが非常に高いと判断するため、利益確定の売りを推奨する。,0.0,16.456747079130096,6.133540650268625,78.6094383552498,0.0,WIN,-1835.21484375
